customer_id,customer_name,industry,company_size,country,region,acquisition_date
10001,Rice-Cooke,Manufacturing,Mid-Market,Palau,LATAM,2024-01-29
10002,Hahn Group,Healthcare,Enterprise,South Africa,APAC,2023-08-20
10003,Brown PLC,Technology,Enterprise,Uganda,APAC,2026-01-23
10004,Medina-Shaw,Retail,Enterprise,Ecuador,Europe,2026-05-20
10005,Vincent-Obrien,Manufacturing,Mid-Market,Tunisia,LATAM,2024-10-15
10006,Ward-Chase,Manufacturing,Enterprise,Saint Lucia,Europe,2025-11-11
10007,Fields-Lewis,Retail,SMB,Colombia,LATAM,2024-03-04
10008,Nguyen and Sons,Technology,Enterprise,Bhutan,LATAM,2023-03-30
10009,Cox Ltd,Technology,SMB,Saint Lucia,Europe,2025-06-06
10010,Ramsey-Mcfarland,Healthcare,Mid-Market,Seychelles,North America,2026-04-17
10011,Benson Inc,Finance,Mid-Market,Mauritania,North America,2025-05-10
10012,Hall and Sons,Technology,Enterprise,Austria,North America,2024-12-08
10013,"Howell, Anderson and Thomas",Manufacturing,SMB,Guyana,North America,2026-02-03
10014,Brown Ltd,Manufacturing,SMB,North Macedonia,LATAM,2026-01-19
10015,Guerrero-Gomez,Technology,Mid-Market,British Indian Ocean Territory (Chagos Archipelago),North America,2025-12-23
10016,Silva-Mcintosh,Finance,SMB,Bangladesh,Europe,2023-01-13
10017,Williams PLC,Finance,Mid-Market,Croatia,LATAM,2023-07-09
10018,Butler-Thompson,Finance,SMB,Martinique,Europe,2023-10-07
10019,Ingram and Sons,Technology,Enterprise,Portugal,North America,2025-06-23
10020,"Bell, Santos and Schultz",Retail,Enterprise,Guadeloupe,North America,2025-06-02
10021,Best-Stewart,Manufacturing,Mid-Market,Guernsey,Europe,2026-05-02
10022,Brown LLC,Healthcare,Mid-Market,Reunion,Europe,2024-09-09
10023,Collins-Williams,Finance,SMB,Hungary,LATAM,2023-11-02
10024,"Ford, Galloway and Dixon",Manufacturing,Enterprise,Reunion,LATAM,2025-08-21
10025,Green-Gibson,Retail,Mid-Market,United States Virgin Islands,APAC,2025-03-29
10026,Sanders PLC,Retail,SMB,Liechtenstein,APAC,2024-06-23
10027,"Ramos, Anderson and Evans",Technology,SMB,Egypt,LATAM,2024-06-07
10028,"Gordon, Nelson and Moore",Manufacturing,Mid-Market,Philippines,LATAM,2022-08-01
10029,Thompson LLC,Healthcare,SMB,South Georgia and the South Sandwich Islands,Europe,2024-06-20
10030,Scott Ltd,Finance,Enterprise,Holy See (Vatican City State),LATAM,2024-04-07
10031,Payne-Ellis,Healthcare,SMB,Czech Republic,LATAM,2022-09-07
10032,"Taylor, Wright and Mcguire",Healthcare,SMB,Denmark,Europe,2024-01-01
10033,"Moore, Carlson and Hartman",Finance,Mid-Market,Armenia,Europe,2025-07-29
10034,"Holmes, Hartman and Sherman",Technology,SMB,Martinique,APAC,2023-01-21
10035,"Bond, Riley and Sandoval",Retail,SMB,Sierra Leone,LATAM,2025-05-08
10036,Harrison-Herrera,Manufacturing,Mid-Market,Qatar,LATAM,2025-06-13
10037,Tran-Gill,Finance,Enterprise,Mexico,Europe,2025-01-26
10038,Johnson Ltd,Finance,Mid-Market,Norway,APAC,2026-01-08
10039,Pierce Inc,Manufacturing,Enterprise,Croatia,North America,2022-08-28
10040,Pratt Group,Retail,Mid-Market,Yemen,Europe,2022-10-23
10041,"Ferguson, Huerta and Ward",Manufacturing,SMB,Jersey,North America,2025-09-26
10042,"Clark, Diaz and Mason",Technology,Enterprise,Georgia,LATAM,2023-05-23
10043,Tyler-Wright,Technology,Enterprise,Qatar,LATAM,2025-09-23
10044,"Garza, Gregory and Miller",Retail,SMB,Armenia,LATAM,2023-11-17
10045,"Benson, Simpson and Nicholson",Healthcare,SMB,United Arab Emirates,LATAM,2025-04-22
10046,Turner Group,Manufacturing,Mid-Market,Antarctica (the territory South of 60 deg S),LATAM,2025-10-21
10047,"Thompson, Adams and Hensley",Healthcare,Enterprise,Pitcairn Islands,North America,2024-08-24
10048,Brewer and Sons,Retail,Mid-Market,Guyana,Europe,2024-03-13
10049,Moore-Johnson,Finance,Mid-Market,Guadeloupe,LATAM,2024-08-12
10050,Davis-Fleming,Retail,SMB,Greece,Europe,2025-01-07
10051,"Franklin, Lewis and Evans",Healthcare,Enterprise,Cameroon,Europe,2026-03-10
10052,Morales LLC,Healthcare,Enterprise,Bhutan,North America,2025-09-02
10053,"Diaz, Mccarty and Evans",Manufacturing,Mid-Market,Central African Republic,North America,2025-07-28
10054,"Graham, Morris and Ross",Manufacturing,Mid-Market,Denmark,LATAM,2023-04-10
10055,"Ward, Evans and Coleman",Healthcare,SMB,Lao People's Democratic Republic,Europe,2026-01-25
10056,Young-Johnson,Healthcare,Mid-Market,Haiti,APAC,2025-03-26
10057,Hill Group,Finance,Mid-Market,Luxembourg,North America,2023-05-05
10058,"Bell, Chan and Phillips",Manufacturing,Mid-Market,Saint Lucia,LATAM,2026-04-17
10059,"Wilson, Silva and Herrera",Finance,SMB,Korea,North America,2026-03-11
10060,Baker and Sons,Manufacturing,Enterprise,Libyan Arab Jamahiriya,LATAM,2024-09-22
10061,Nelson and Sons,Technology,Enterprise,India,Europe,2024-10-31
10062,"Anderson, Chavez and Smith",Retail,Mid-Market,Tokelau,North America,2026-01-02
10063,Mercer-Nguyen,Finance,SMB,Romania,Europe,2025-11-24
10064,Benjamin LLC,Healthcare,Mid-Market,Mayotte,Europe,2026-03-03
10065,Sims-Rosales,Manufacturing,SMB,Liberia,APAC,2022-11-07
10066,"Hardy, Baker and Turner",Technology,Enterprise,Comoros,North America,2023-01-28
10067,"Lee, Thompson and Smith",Manufacturing,SMB,Tunisia,Europe,2024-06-03
10068,Campos-Obrien,Retail,Enterprise,Mexico,Europe,2022-08-09
10069,Thompson-Bryant,Finance,Mid-Market,Saint Kitts and Nevis,APAC,2026-04-26
10070,"Martin, Johnson and Zhang",Finance,Mid-Market,Trinidad and Tobago,Europe,2022-12-02
10071,"Sullivan, Thompson and Crawford",Healthcare,Mid-Market,Seychelles,Europe,2025-11-15
10072,"Hudson, Taylor and Page",Finance,SMB,Cambodia,LATAM,2024-10-09
10073,Spencer Inc,Technology,Mid-Market,Saudi Arabia,Europe,2023-02-10
10074,French-Washington,Technology,Mid-Market,Sao Tome and Principe,LATAM,2024-07-29
10075,Washington Ltd,Retail,Mid-Market,Holy See (Vatican City State),APAC,2025-12-11
10076,"Conner, Scott and Lyons",Manufacturing,SMB,Pitcairn Islands,APAC,2024-08-29
10077,Foster-Malone,Healthcare,SMB,Iceland,Europe,2025-08-29
10078,"Richmond, Davis and Mckay",Technology,Mid-Market,Italy,North America,2026-01-09
10079,Wilson-Wilson,Healthcare,Mid-Market,Kuwait,Europe,2023-10-29
10080,Salas-Craig,Healthcare,SMB,Bahrain,APAC,2025-05-16
10081,"Ruiz, Graham and Hernandez",Healthcare,Enterprise,Latvia,APAC,2026-01-23
10082,Howard-Barker,Technology,SMB,Madagascar,Europe,2023-09-19
10083,"Chandler, Davis and Gonzales",Retail,Mid-Market,Palau,LATAM,2026-03-11
10084,Castro-Rivers,Manufacturing,SMB,Cook Islands,North America,2025-10-09
10085,Sherman-Nicholson,Technology,SMB,Botswana,LATAM,2026-01-17
10086,Salinas Group,Healthcare,SMB,Jersey,North America,2024-02-05
10087,Simpson-Martinez,Finance,Mid-Market,Paraguay,APAC,2023-04-29
10088,"Moran, Sims and David",Retail,SMB,Uruguay,North America,2023-01-18
10089,Kaiser-Bailey,Healthcare,Mid-Market,Madagascar,LATAM,2023-08-30
10090,Wilson-Hall,Manufacturing,Enterprise,Slovakia (Slovak Republic),Europe,2024-09-01
10091,Torres PLC,Technology,Enterprise,Lao People's Democratic Republic,APAC,2025-05-14
10092,"Hancock, Frank and Wheeler",Technology,SMB,Greenland,Europe,2026-05-13
10093,Pham Inc,Technology,Enterprise,Indonesia,LATAM,2024-09-15
10094,Camacho LLC,Healthcare,Mid-Market,Bangladesh,Europe,2022-11-04
10095,Mcclain-Hill,Healthcare,SMB,Uganda,APAC,2023-02-22
10096,Berry-Davis,Finance,Enterprise,Cyprus,APAC,2024-01-31
10097,Nguyen Inc,Manufacturing,SMB,Kyrgyz Republic,Europe,2023-07-11
10098,"Martinez, Gonzalez and White",Finance,Mid-Market,Western Sahara,LATAM,2024-09-20
10099,Hill PLC,Technology,Mid-Market,Brazil,Europe,2024-09-07
10100,Reyes Ltd,Healthcare,Mid-Market,Palau,LATAM,2024-08-06
10101,Armstrong-Chapman,Retail,Enterprise,Libyan Arab Jamahiriya,APAC,2023-08-11
10102,Smith Group,Healthcare,Enterprise,Chad,North America,2024-04-02
10103,Cruz-Evans,Retail,Mid-Market,Panama,APAC,2023-05-20
10104,Taylor LLC,Finance,Enterprise,Malaysia,North America,2026-02-28
10105,"Gonzalez, Jackson and Rose",Technology,SMB,Kyrgyz Republic,APAC,2022-11-14
10106,Franco Ltd,Finance,SMB,Cocos (Keeling) Islands,APAC,2024-04-17
10107,"Quinn, Arnold and Knapp",Technology,Enterprise,Tanzania,Europe,2025-11-06
10108,"Smith, Bauer and Barker",Healthcare,SMB,Uzbekistan,Europe,2024-11-22
10109,Rogers-Townsend,Finance,Enterprise,Puerto Rico,APAC,2026-01-24
10110,Henderson-Barajas,Retail,Mid-Market,Vietnam,North America,2025-07-05
10111,Lara LLC,Technology,Mid-Market,Norway,LATAM,2023-12-18
10112,"Davis, Perkins and Villanueva",Healthcare,Enterprise,Saint Kitts and Nevis,LATAM,2024-12-27
10113,Barr-Richards,Technology,Enterprise,Mali,APAC,2024-08-29
10114,Miller PLC,Retail,Enterprise,Montenegro,APAC,2024-08-02
10115,"Anderson, Webb and Doyle",Retail,Enterprise,Samoa,North America,2024-01-06
10116,Brown LLC,Manufacturing,SMB,Martinique,LATAM,2023-05-24
10117,"Hicks, Benjamin and Peters",Manufacturing,SMB,Turkey,LATAM,2024-07-17
10118,Thomas-Allen,Retail,Enterprise,Bermuda,Europe,2023-04-22
10119,Lane-Harris,Finance,Mid-Market,Saint Vincent and the Grenadines,Europe,2025-05-18
10120,"Weber, Hanson and Harris",Healthcare,SMB,Belize,Europe,2024-06-10
10121,Blackburn-Phelps,Healthcare,SMB,South Georgia and the South Sandwich Islands,LATAM,2025-11-19
10122,Turner-Hunt,Retail,Enterprise,United States Minor Outlying Islands,Europe,2025-01-13
10123,"Weaver, Alexander and Price",Manufacturing,Enterprise,Czech Republic,Europe,2024-08-21
10124,"Bennett, Green and Morris",Healthcare,SMB,Kyrgyz Republic,Europe,2025-10-25
10125,Bowen Inc,Technology,Mid-Market,Lesotho,LATAM,2022-09-10
10126,Clark-Patel,Healthcare,SMB,Mozambique,Europe,2023-07-09
10127,Dickson LLC,Retail,Enterprise,Christmas Island,APAC,2026-05-12
10128,"Long, Campbell and Gilbert",Healthcare,Enterprise,Namibia,LATAM,2022-07-17
10129,Bender Ltd,Manufacturing,Mid-Market,Burkina Faso,APAC,2025-01-02
10130,Dominguez-Moreno,Technology,Enterprise,El Salvador,LATAM,2023-01-07
10131,Matthews-Bernard,Healthcare,SMB,Cayman Islands,Europe,2023-05-07
10132,Chavez LLC,Technology,SMB,Guatemala,LATAM,2024-06-10
10133,Harris LLC,Finance,Mid-Market,Grenada,APAC,2023-04-09
10134,Bryant Group,Manufacturing,Enterprise,Bhutan,North America,2023-08-27
10135,"Smith, Chan and Mcdonald",Retail,Mid-Market,Mexico,LATAM,2023-05-19
10136,Perez-Larson,Healthcare,Mid-Market,Belgium,North America,2022-11-22
10137,Gonzales Ltd,Technology,Enterprise,Jamaica,North America,2024-11-07
10138,"Nelson, Gamble and Rose",Healthcare,SMB,United States Minor Outlying Islands,APAC,2024-01-07
10139,Webb-Harris,Technology,Mid-Market,Mauritania,APAC,2025-08-31
10140,Murphy LLC,Manufacturing,SMB,Mali,APAC,2025-04-27
10141,"Sullivan, Jacobs and Calderon",Technology,SMB,Vanuatu,North America,2023-10-03
10142,"Solis, Andrade and Gardner",Technology,Enterprise,Jersey,APAC,2024-02-26
10143,Perez LLC,Technology,Mid-Market,Luxembourg,LATAM,2025-04-19
10144,Flores LLC,Technology,Mid-Market,Saudi Arabia,North America,2025-01-17
10145,"Lee, Heath and Johnston",Technology,Enterprise,Montserrat,APAC,2022-11-23
10146,Davis LLC,Manufacturing,Mid-Market,Switzerland,Europe,2022-10-11
10147,"Rivas, Huff and Ali",Technology,Enterprise,Netherlands,Europe,2024-08-09
10148,Silva PLC,Manufacturing,Mid-Market,Mongolia,APAC,2022-09-28
10149,"Johnson, Prince and Barron",Finance,SMB,Congo,Europe,2025-11-18
